,date,number_of_tweets
0,2020-01-21,224.0
1,2020-01-22,28520.0
2,2020-01-23,186460.0
3,2020-01-24,660769.0
4,2020-01-25,998717.0
5,2020-01-26,1356180.0
6,2020-01-27,989434.0
7,2020-01-28,875551.0
8,2020-01-29,1979903.0
9,2020-01-30,2358087.0
10,2020-01-31,2145603.0
11,2020-02-01,940959.0
12,2020-02-02,1058172.0
13,2020-02-03,1045023.0
14,2020-02-04,1168053.0
15,2020-02-05,1062568.0
16,2020-02-06,1136920.0
17,2020-02-07,1032614.0
18,2020-02-08,969686.0
19,2020-02-09,1000828.0
20,2020-02-10,1076780.0
21,2020-02-11,1109326.0
22,2020-02-12,1052105.0
23,2020-02-13,1121186.0
24,2020-02-14,1033950.0
25,2020-02-15,922857.0
26,2020-02-16,938638.0
27,2020-02-17,985045.0
28,2020-02-18,1080332.0
29,2020-02-19,959982.0
30,2020-02-20,1043570.0
31,2020-02-21,1074836.0
32,2020-02-22,946039.0
33,2020-02-24,886376.0
34,2020-02-25,962555.0
35,2020-02-26,1160877.0
36,2020-02-27,1163270.0
37,2020-02-28,2057115.0
38,2020-02-29,3735380.0
39,2020-03-01,2822686.0
40,2020-03-02,988049.0
41,2020-03-03,3172658.0
42,2020-03-04,3408778.0
43,2020-03-05,1170131.0
44,2020-03-06,1194625.0
45,2020-03-07,1181183.0
46,2020-03-08,1156984.0
47,2020-03-09,1136076.0
48,2020-03-10,1099542.0
49,2020-03-11,1145287.0
50,2020-03-12,1073823.0
51,2020-03-13,1072390.0
52,2020-03-14,1099324.0
53,2020-03-15,1086235.0
54,2020-03-16,1033232.0
55,2020-03-17,1033019.0
56,2020-03-18,913230.0
57,2020-03-19,1037389.0
58,2020-03-20,1057868.0
59,2020-03-21,216797.0
